# gas: CF4
# fidelity_tier: parameterized
# source: SYNTHETIC placeholder — NOT physical data. Hand-authored, CF4-shaped
# doi:
# method: synthetic toy grid for buffer-gas infrastructure/demo only
# energy_unit: eV
# sigma_unit: m^2
# channels: elastic,vibrational,electronic,positronium
# thresholds_ev: elastic=0.0,vibrational=0.16,electronic=9.0,positronium=9.4
energy_eV,elastic,vibrational,electronic,positronium
0.1,3.0e-20,0.0,0.0,0.0
0.16,3.0e-20,0.0,0.0,0.0
0.5,3.2e-20,2.5e-20,0.0,0.0
1.0,3.5e-20,3.0e-20,0.0,0.0
3.0,3.8e-20,2.6e-20,0.0,0.0
9.0,4.0e-20,1.8e-20,0.0,0.0
9.4,4.0e-20,1.8e-20,1.5e-21,0.0
10.0,3.9e-20,1.6e-20,3.0e-21,1.5e-21
20.0,3.5e-20,1.0e-20,5.0e-21,3.0e-21
50.0,2.8e-20,6.0e-21,4.0e-21,2.5e-21
100.0,2.2e-20,4.0e-21,3.0e-21,2.0e-21
