# latent-dirac antiproton yield table v1
# generator = engine/yieldgen
# geant4_version = $Name: geant4-11-04-patch-02 [MT]$
# physics_list = FTFP_BERT
# datasets = G4NDL4.7.1,G4EMLOW8.8,PhotonEvaporation6.1.2,RadioactiveDecay6.1.2,G4PARTICLEXS4.2,G4PII1.3,RealSurface2.2,G4SAIDDATA2.0,G4ABLA3.3,G4INCL1.3,G4ENSDFSTATE3.0,G4CHANNELING2.0
# patches = none
# primary = proton
# primary_momentum_gev_c = 26
# n_primaries = 2000000
# target = iridium cylinder r_mm=1.5 half_length_mm=27.5
# columns = x_m,y_m,z_m,px_gev_c,py_gev_c,pz_gev_c
0.00134024,-0.00067362,0.0237022,0.445778,-0.228602,5.10097
-0.000294981,0.00147071,-0.00876514,-0.131528,0.520079,2.27793
-0.00148665,-0.000199695,0.00804458,-0.415863,-0.139477,3.44608
0.00143616,0.000432939,0.0226927,0.425874,0.151205,1.76911
-0.00099267,-0.00112455,0.0232255,-0.28412,-0.333694,1.0337
-0.000520615,-0.000209926,0.0275,-0.275857,-0.0848201,1.43253
-0.000209362,-0.00148532,0.0148952,-0.0534777,-0.48349,3.51706
-0.000730626,0.00131003,-0.0119921,-0.159048,0.267713,1.1854
-0.00117549,-0.000931785,-0.0123862,-0.329465,-0.256655,4.03983
-0.00065784,-0.00134805,0.0220498,-0.125561,-0.281701,1.21562
0.000896894,-0.00120232,-0.0155375,0.32165,-0.416361,1.94249
-0.00056451,-0.00138972,-0.0149123,-0.132202,-0.239906,1.8948
0.00116591,0.000943745,0.0182733,0.416274,0.28054,1.87066
0.00149692,-9.60192e-05,-0.00811859,0.572978,-0.0186599,0.935667
0.000854619,-0.00123273,-0.0149349,0.212086,-0.241,2.49063
-0.00060888,0.00137086,0.00387447,-0.24903,0.533029,10.2716
-0.000630505,0.000121786,0.0275,-0.0661743,0.0295219,4.67885
2.0202e-05,4.09713e-05,0.0275,-0.0254565,0.315819,3.10431
-0.000383762,0.00145008,-0.0191126,-0.144865,0.640163,1.29561
0.00137308,0.000603865,-0.00208435,0.491897,0.24937,1.92048
-0.000435904,-0.00025753,0.0275,-0.136308,-0.0782802,3.80251
-0.00144603,0.000398753,-0.0110321,-0.524374,0.180316,3.246
-0.00119536,0.000906151,-0.0167542,-0.149757,0.129769,1.39922
8.79442e-05,-2.72908e-05,0.0275,0.0427739,-0.0371795,5.61802
0.000330461,0.00146315,-0.0179644,0.168947,0.686073,1.85868
-0.00127951,-0.000782854,0.025895,-0.126513,-0.123369,1.24678
0.00122291,-0.000868621,0.00758402,0.268326,-0.170341,3.01035
0.00048731,-0.00141864,-0.0063075,0.138778,-0.4153,1.01458
0.0002398,-0.000703078,0.0275,0.0748084,-0.1862,3.39231
-0.00120237,0.000896826,-0.0145948,-0.767363,0.603326,6.34899
-0.0014863,0.000202268,-0.00169802,-0.222762,0.0334372,0.899738
-0.0015,1.34244e-06,-0.015225,-0.623087,-0.0331081,3.86783
0.000680006,0.00133701,0.0114159,0.258738,0.51714,2.73565
-0.000108743,0.000934876,0.0275,0.0105028,0.283492,2.42643
8.65623e-05,-7.98636e-05,0.0275,0.421554,-0.590794,2.81212
-0.000757754,0.000703154,0.0275,-0.341528,0.367899,5.06141
-0.00147958,-0.000246646,0.0125611,-0.47528,-0.0874614,4.28924
0.00148915,0.000180086,0.0119773,0.297739,0.0309582,0.998317
0.000316253,-0.00146628,-0.0133709,0.212015,-0.873911,4.5504
-0.000170439,0.000428787,0.0275,0.0283156,0.0937088,9.998
0.000703366,0.00132487,0.0121517,0.146648,0.415921,5.14108
0.000446486,0.00143201,0.00635031,0.0245278,0.125223,1.97802
4.85836e-05,-0.00149921,0.0021201,0.0332059,-0.437071,1.857
-0.00148333,-0.000223022,0.00924465,-0.273312,-0.0669918,1.63382
-0.000479219,-0.000629932,0.0275,-0.42191,-0.488635,1.32206
0.00149122,0.000162084,0.0106866,0.729443,0.0478457,8.34653
-0.000696614,0.0002942,0.0275,-0.25244,0.112821,3.83376
0.00132915,-0.000695243,0.0134953,0.320696,-0.173606,7.88948
-2.29774e-05,-4.13228e-05,0.0275,-0.19367,0.215226,3.20591
0.000715187,-0.00131852,0.00962009,0.201258,-0.340336,2.32719
8.68761e-06,4.32109e-05,0.0275,0.0878857,-0.0739391,3.06009
0.0014677,0.000309608,-0.0109379,1.07871,0.233388,3.5511
-0.00149739,-8.84664e-05,-0.00302773,-0.216387,-0.0225048,2.9868
-0.000308498,0.00146793,-0.0128235,-0.058779,0.235994,1.76739
1.7245e-05,0.000944574,0.0275,-0.0602966,0.124733,3.85429
0.000154179,-0.00135043,0.0275,0.0717243,-0.540209,4.2984
-0.00149933,-4.47914e-05,-0.0140927,-0.519762,-0.0491904,2.92597
-0.00028214,-0.00147323,0.0267903,-0.151206,-0.51258,6.05813
0.00147726,0.000260173,0.0174792,1.05923,0.235661,1.88636
-0.000117047,0.00149543,0.0116495,-0.108399,0.416072,3.29024
0.000632767,-0.00136,0.0118143,0.255208,-0.703035,4.19083
0.000606921,0.000559967,0.0275,0.367195,0.310327,2.47103
0.00122893,0.00086008,-0.0198467,1.01789,0.700198,2.36525
0.00140602,-0.000522584,-0.00777034,0.505238,-0.181095,1.85465
0.000654273,0.00134979,0.0241036,0.188091,0.407748,0.55546
-0.000176878,-0.000802094,0.0275,-0.0612668,-0.331423,5.30342
-3.70851e-05,0.000502379,0.0275,-0.031593,0.285535,4.36559
0.0014912,0.00016222,0.00489444,0.494327,0.040511,1.69836
-0.00111532,-0.00100302,-0.00264885,-0.369006,-0.333562,1.53257
0.000122486,-0.00149499,-0.0126136,0.00882142,-0.359335,2.51012
-0.000356796,0.000206643,0.0275,-0.225091,0.179053,1.19878
0.00112744,-0.000989389,-0.0160993,0.284975,-0.211524,1.74889
0.0013313,0.00069111,0.000381506,0.581281,0.325843,1.65487
-0.00109939,-8.89017e-05,0.0275,-0.286736,-0.0369528,4.90497
