# latent-dirac positron yield table v1
# generator = engine/positrongen
# geant4_version = $Name: geant4-11-04-patch-02 [MT]$
# physics_list = FTFP_BERT
# datasets = G4NDL4.7.1,G4EMLOW8.8,PhotonEvaporation6.1.2,RadioactiveDecay6.1.2,G4PARTICLEXS4.2,G4PII1.3,RealSurface2.2,G4SAIDDATA2.0,G4ABLA3.3,G4INCL1.3,G4ENSDFSTATE3.0,G4CHANNELING2.0
# patches = none
# primary = e-
# primary_kinetic_mev = 10
# n_primaries = 10000000
# target = tungsten disc r_mm=5 half_length_mm=1
# columns = x_m,y_m,z_m,px_gev_c,py_gev_c,pz_gev_c
-0.000228873,-0.000150031,0.001,0.00152163,-0.000150009,-0.000177689
-0.000196854,-0.000156268,0.001,0.00103758,0.000305405,0.00101071
0.000740982,-0.000168228,0.001,-0.00128109,0.000358391,3.53656e-05
-0.000207772,-0.000325543,0.001,-0.00131839,-0.00195931,0.00703993
-0.000230544,-5.07438e-05,0.001,0.000924697,0.000749218,0.00115564
-0.00199682,0.00458396,0.000167728,-0.00195464,0.00044068,-0.000378717
0.0008824,0.000317616,0.001,-0.000611931,0.000667402,0.000104084
-0.00230448,0.000939725,0.001,-0.000940499,-0.000412801,-0.0010259
-0.00023848,-0.000573375,0.001,5.1283e-05,-0.000610655,0.00403718
0.00119511,-0.000515572,-0.001,-0.00097543,0.00185422,-0.00232574
0.000740754,0.00130266,0.001,-0.000350675,0.00114002,0.00152244
-9.52616e-06,0.000178372,0.001,0.00240051,0.000429078,0.000938947
0.00226346,-0.000157726,0.001,-0.00045125,-0.000569894,0.00136786
0.000746768,-0.000218532,0.001,-0.000637918,0.00317702,0.00112602
0.00136325,-0.00225072,0.001,-9.54506e-05,0.000176849,0.000512621
0.000708394,6.31665e-05,0.001,0.00128772,0.000623574,0.00365042
0.000305706,0.00033058,0.001,-0.00158609,0.000505513,0.00131125
0.000657292,5.85442e-05,0.001,0.000567288,-0.000363423,0.000723643
6.56736e-05,-0.000516357,0.001,-0.000647631,0.00146046,0.00640151
-0.000204451,-0.000743797,0.001,0.0002511,-0.000785766,0.00104795
-0.000139927,-0.00100073,0.001,0.000193107,-0.00202437,0.00261271
-0.00123997,-0.000885913,0.001,2.04011e-05,-4.71394e-05,0.000251455
-0.00194901,0.0011376,0.001,-0.000795655,0.000107285,0.000805571
-0.000494151,0.000235082,0.001,-0.0028009,-0.000419208,0.00301557
-0.000471352,-0.00148043,-0.001,0.00212521,0.000285615,-0.000780974
0.000627372,-0.000225138,0.001,-0.000377587,0.000376039,0.00316228
0.000317567,0.000177505,0.001,0.000476213,-1.52167e-05,0.0026562
-0.000282719,0.000385151,0.001,-0.00266112,0.000547671,0.0045233
-0.000115687,-0.000242374,0.001,-0.000309954,-0.00185085,0.00157256
-0.00119546,0.000756175,0.001,-0.000927121,0.000696287,0.00381525
0.00494328,0.000750959,0.000619057,0.00036401,0.00105005,-0.000858392
-0.00276527,0.00289069,0.001,-0.000447725,-0.00166236,0.00113667
-0.00139589,0.00207406,0.001,0.00170686,0.0021685,-0.000107833
0.000205656,3.91179e-05,-0.001,-0.000244107,-0.00251801,-0.000177778
